Job Class,Percentage,How To
Management,6.1,https://www.thebalancecareers.com/getting-a-first-management-job-2275109
Business and Financial operations,5,https://blog.hubspot.com/sales/how-to-start-a-business
Computer and Mathematical,2.7,http://www.jamesmaa.com/2013/08/26/a-beginners-guide-to-computer-science/
Architecture and Engineering,1.7,https://youngarchitect.com/2015/01/21/becoming-an-architect/
"Life, Physical and Social Science",0.9,https://www.aip.org/jobs/career-advice/physical-scientists-can-do-anything-heres-how-you-start-your-career-planning
Community and Social Service,1.6,https://www.teenlife.com/blogs/how-get-started-community-service
Legal,0.8,https://www.thebalancecareers.com/jump-start-legal-career-2164507
"Education, training and library",6.1,https://www.alleducationschools.com/teaching-careers/
"Arts, design, entertainment, sports and media",1.7,https://www.workinsports.com/blog/you-ive-got-a-job-but-what-i-want-is-a-sports-career/
Healthcare practioners and technical,5.5,https://study.com/articles/How_to_Become_a_Healthcare_Practitioner_Career_Guide.html
Healthcare support,2.8,https://healthcareitskills.com/getting-started-healthcare-it-career-path/
Protective service,2.3,https://healthcareitskills.com/getting-started-healthcare-it-career-path/
Food preparation and serving,8.3,https://studentaid.ed.gov/sa/prepare-for-college/careers/search/profile/summary/35-3021.00
Building and grounds cleaning and maintenance,3.7,https://www.smartsheet.com/complete-guide-facilities-management-career-paths-and-advancement
Personal care and service,4,https://mbs.rutgers.edu/articles/what-it-takes-break-cosmeticspersonal-care-industry-mbs-industry-career-panel
Sales,10.2,https://www.badgermapping.com/blog/starting-a-career-in-sales/
Office and administrative support,15.1,https://www.oxbridgeacademy.edu.za/blog/4-tips-for-a-successful-career-in-office-administration/
"Farming, fishing and forestry",0.6,https://www.allaboutcareers.com/careers/career-path/agriculture
Construction and extraction,4.3,http://www.careersinconstruction.ca/en/careers/getting-started
"Installation, maintenance and repair",3.8,https://www.vistacollege.edu/blog/careers/trade/now-perfect-time-start-career-industrial-maintenance/
Production,6.1,https://www.theguardian.com/careers/careers-blog/expert-advice-how-get-film-tv-screenwriting-careers
Transportation and material moving,6.5,https://study.com/articles/Career_Information_for_a_Degree_in_Transportation_and_Distribution.html
Total,99.8,